Tree,X,Y,Type,Caliper_DBH,Corteza Rugosa,1,2,3,4,5,6,7,8,9,10,Media,RANSAC_DBH,1,2,3,4,5,6,7,8,9,10,Media,Monte Carlo_DBH,Optimal Circle_DBH,,,
155,448123.693,4432111.725,ok,0.240,1,,,,,,,,,,,,0.200,,,,,,,,,,,,0.203,0.199,,,
156,448126.666,4432114.269,ok,0.185,1,,,,,,,,,,,,0.146,,,,,,,,,,,,0.155,0.149,,,
157,448130.198,4432114.926,ok,0.315,1,,,,,,,,,,,,0.368,,,,,,,,,,,,0.296,0.300,,,
158,448125.657,4432118.062,ok,0.350,1,,,,,,,,,,,,0.280,,,,,,,,,,,,0.317,0.313,,,
159,448121.948,4432117.661,ok,0.310,1,,,,,,,,,,,,0.316,,,,,,,,,,,,0.331,0.282,,,
160,448124.660,4432121.747,ok,0.180,1,,,,,,,,,,,,0.166,,,,,,,,,,,,0.187,0.192,,,
161,448119.637,4432126.853,DBH < 10 cm.,0.050,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
162,448122.744,4432130.798,ok,0.550,1,,,,,,,,,,,,0.568,,,,,,,,,,,,0.516,0.515,,,
163,448130.494,4432130.386,ok,0.460,1,,,,,,,,,,,,0.474,,,,,,,,,,,,0.424,0.428,,,
164,448132.926,4432122.161,ok,0.340,1,,,,,,,,,,,,0.374,,,,,,,,,,,,0.420,0.421,,,
165,448134.674,4432117.063,ok,0.350,1,,,,,,,,,,,,0.418,,,,,,,,,,,,0.382,0.383,,,
166,448136.344,4432111.014,ok,0.275,1,,,,,,,,,,,,0.246,,,,,,,,,,,,0.306,0.326,,,
167,448137.581,4432105.512,ok,0.270,1,,,,,,,,,,,,0.334,,,,,,,,,,,,0.277,0.278,,,
168,448136.301,4432099.077,ok,0.183,1,,,,,,,,,,,,0.222,,,,,,,,,,,,0.212,0.188,,,
169,448139.874,4432089.851,ok,0.246,1,,,,,,,,,,,,0.240,,,,,,,,,,,,0.225,0.228,,,
170,448141.787,4432093.059,ok,0.692,1,,,,,,,,,,,,0.420,,,,,,,,,,,,0.386,0.390,,,
171,448141.131,4432095.082,ok,0.183,1,,,,,,,,,,,,0.200,,,,,,,,,,,,0.195,0.199,,,
172,448140.339,4432097.358,ok,0.428,1,,,,,,,,,,,,0.574,,,,,,,,,,,,0.622,0.621,,,
173,448127.011,4432141.922,ok,0.996,0,,,,,,,,,,,,0.952,,,,,,,,,,,,0.931,0.938,,,
174,448120.785,4432137.975,ok,0.265,1,,,,,,,,,,,,0.266,,,,,,,,,,,,0.252,0.251,,,
175,448119.425,4432142.215,ok,0.230,1,,,,,,,,,,,,0.248,,,,,,,,,,,,0.212,0.206,,,
176,448118.233,4432147.796,ok,0.370,1,,,,,,,,,,,,0.346,,,,,,,,,,,,0.360,0.360,,,
177,448117.236,4432151.141,ok,0.210,0,,,,,,,,,,,,0.218,,,,,,,,,,,,0.212,0.223,,,
178,448116.420,4432154.883,ok,0.450,1,,,,,,,,,,,,0.448,,,,,,,,,,,,0.440,0.432,,,
179,448121.058,4432161.912,ok,0.420,1,,,,,,,,,,,,0.506,,,,,,,,,,,,0.446,0.441,,,
180,448118.368,4432167.519,ok,0.230,0,,,,,,,,,,,,0.262,,,,,,,,,,,,0.232,0.234,,,
181,448111.149,4432158.558,ok,0.270,1,,,,,,,,,,,,0.306,,,,,,,,,,,,0.318,0.312,,,
182,448109.527,4432157.051,DBH < 10 cm.,0.090,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
183,448106.876,4432165.252,ok,0.300,0,,,,,,,,,,,,0.318,,,,,,,,,,,,0.329,0.310,,,
184,448101.367,4432163.897,ok,0.215,1,,,,,,,,,,,,0.222,,,,,,,,,,,,0.212,0.226,,,
185,448100.030,4432164.883,ok,0.290,0,,,,,,,,,,,,0.330,,,,,,,,,,,,0.307,0.305,,,
186,448101.678,4432169.317,ok,0.300,0,,,,,,,,,,,,0.326,,,,,,,,,,,,0.349,0.354,,,
187,448106.712,4432176.663,ok,0.220,1,,,,,,,,,,,,0.200,,,,,,,,,,,,0.212,0.257,,,
188,448102.313,4432177.181,ok,0.230,0,,,,,,,,,,,,0.244,,,,,,,,,,,,0.276,0.249,,,
189,448100.298,4432181.519,ok,0.440,1,,,,,,,,,,,,0.336,,,,,,,,,,,,0.408,0.418,,,
190,448096.983,4432177.948,ok,0.300,1,,,,,,,,,,,,0.248,,,,,,,,,,,,0.284,0.284,,,
191,448093.469,4432187.200,ok,0.255,0,,,,,,,,,,,,0.296,,,,,,,,,,,,0.238,0.237,,,
192,448086.799,4432184.381,ok,0.340,1,,,,,,,,,,,,0.300,,,,,,,,,,,,0.316,0.313,,,
193,448082.736,4432179.135,ok,0.430,0,,,,,,,,,,,,0.400,,,,,,,,,,,,0.365,0.366,,,
194,448089.246,4432173.744,ok,0.290,0,,,,,,,,,,,,0.240,,,,,,,,,,,,0.261,0.262,,,
195,448096.427,4432170.346,ok,0.385,1,,,,,,,,,,,,0.392,,,,,,,,,,,,0.355,0.341,,,
197,448101.068,4432187.164,ok,0.230,1,,,,,,,,,,,,0.244,,,,,,,,,,,,0.208,0.192,,,
204,448085.960,4432193.485,ok,0.300,1,,,,,,,,,,,,0.336,,,,,,,,,,,,0.337,0.249,,,
206,448079.837,4432181.412,ok,0.220,0,,,,,,,,,,,,0.180,,,,,,,,,,,,0.191,0.161,,,
207,448077.813,4432183.702,ok,0.510,1,,,,,,,,,,,,0.650,,,,,,,,,,,,0.595,0.541,,,
212,448074.681,4432181.412,ok,0.250,1,,,,,,,,,,,,0.260,,,,,,,,,,,,0.325,0.223,,,
213,448071.392,4432183.482,DBH < 10 cm.,0.050,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
216,448067.758,4432182.230,ok,0.544,1,,,,,,,,,,,,0.640,,,,,,,,,,,,0.707,0.541,,,
217,448070.270,4432180.526,ok,0.668,1,,,,,,,,,,,,0.718,,,,,,,,,,,,0.673,0.607,,,
218,448081.544,4432175.020,ok,0.260,0,,,,,,,,,,,,0.272,,,,,,,,,,,,0.281,0.319,,,
220,448087.260,4432170.345,ok,0.470,1,,,,,,,,,,,,0.432,,,,,,,,,,,,0.422,0.423,,,
221,448091.169,4432163.987,ok,0.390,1,,,,,,,,,,,,0.328,,,,,,,,,,,,0.342,0.335,,,
222,448089.621,4432161.983,ok,0.340,1,,,,,,,,,,,,0.322,,,,,,,,,,,,0.338,0.334,,,
224,448083.669,4432155.104,DBH < 10 cm.,0.100,0,,,,,,,,,,,,0.000,,,,,,,,,,,,0.000,0.000,,,
225,448080.406,4432150.698,ok,0.370,1,,,,,,,,,,,,0.310,,,,,,,,,,,,0.342,0.350,,,
227,448074.255,4432143.447,ok,0.405,1,,,,,,,,,,,,0.392,,,,,,,,,,,,0.409,0.404,,,
228,448068.343,4432138.625,ok,1.286,0,,,,,,,,,,,,1.184,,,,,,,,,,,,1.181,1.185,,,
